# Fig. 2D - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# diffusion-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
15,-0.377765,0.0872156
15,-0.310019,0.104918
15,-0.242274,0.133116
15,-0.174553,0.180323
15,-0.106808,0.266241
15,-0.0390621,0.410501
15,0.028683,0.590166
15,0.0964042,0.734435
15,0.162408,0.820326
15,0.230177,0.867542
15,0.297874,0.895749
15,0.365644,0.913442
15,0.433365,0.925253
15,0.50111,0.933776
15,0.568831,0.940316
15,0.636577,0.945568
15,0.704322,0.949496
15,0.839764,0.954748
15,0.975255,0.958694
15,1.11072,0.961307
15,1.17847,0.961955
15,1.24445,0.962622
15,1.31219,0.963928
15,1.37994,0.964586
15,1.44768,0.964586
15,1.58315,0.965892
15,1.65089,0.965892
15,1.71864,0.966559
15,1.78636,0.966559
15,1.92185,0.967865
15,1.9896,0.967865
16,-2,0.0308195
16,-1.93402,0.0308195
16,-1.86628,0.031468
16,-1.79853,0.031468
16,-1.73081,0.0321256
16,-1.66309,0.0321256
16,-1.59534,0.0327927
16,-1.5276,0.033441
16,-1.45985,0.033441
16,-1.18889,0.0360627
16,-1.12117,0.0373781
16,-1.05343,0.0380357
16,-0.985683,0.039342
16,-0.91968,0.0413056
16,-0.851934,0.042621
16,-0.716443,0.0478642
16,-0.648723,0.0518014
16,-0.580953,0.0563868
16,-0.513232,0.0622968
16,-0.44551,0.0708191
16,-0.377765,0.081963
16,-0.310019,0.0983593
16,-0.242274,0.124593
16,-0.174553,0.170494
16,-0.106808,0.255088
16,-0.0390621,0.404591
16,0.028683,0.596067
16,0.0964042,0.745579
16,0.162408,0.830173
16,0.230177,0.876073
16,0.297874,0.902289
16,0.365644,0.918685
16,0.433365,0.929829
16,0.50111,0.938352
16,0.568831,0.944262
16,0.636577,0.948847
16,0.704322,0.952784
16,0.839764,0.958018
16,0.90751,0.959343
16,0.975255,0.961306
16,1.043,0.962622
16,1.11072,0.96327
16,1.17847,0.964586
16,1.24445,0.965244
16,1.44768,0.967207
16,1.5154,0.967207
16,1.65089,0.968532
16,1.71864,0.968532
16,1.78636,0.96918
16,1.85411,0.96918
16,1.92185,0.969829
16,1.9896,0.969829
17,-2,0.0288556
17,-1.93402,0.0295041
17,-1.86628,0.0295041
17,-1.79853,0.0301617
17,-1.73081,0.0301617
17,-1.66309,0.0308195
17,-1.59534,0.0308195
17,-1.5276,0.031468
17,-1.45985,0.031468
17,-1.32439,0.0327925
17,-1.12117,0.034747
17,-0.985683,0.0373781
17,-0.91968,0.0386842
17,-0.784189,0.042621
17,-0.716443,0.0452428
17,-0.648723,0.0485218
17,-0.580953,0.0531074
17,-0.513232,0.0590175
17,-0.44551,0.0662244
17,-0.377765,0.0773777
17,-0.310019,0.0931163
17,-0.242274,0.118035
17,-0.174553,0.161314
17,-0.106808,0.244602
17,-0.0390621,0.399348
17,0.028683,0.601319
17,0.0964042,0.756074
17,0.162408,0.839353
17,0.230177,0.882623
17,0.297874,0.907532
17,0.365644,0.923271
17,0.433365,0.934424
17,0.50111,0.941631
17,0.568831,0.947541
17,0.636577,0.952126
17,0.704322,0.955406
17,0.772067,0.958018
17,0.90751,0.961955
17,1.11072,0.965892
17,1.17847,0.96655
17,1.24445,0.967207
17,1.44768,0.96918
17,1.5154,0.96918
17,1.58315,0.969829
17,1.65089,0.969829
17,1.71864,0.970487
17,1.78636,0.970487
17,1.85411,0.971135
17,1.92185,0.971135
17,1.9896,0.971802
18,-2,0.0275312
18,-1.93402,0.0275312
18,-1.86628,0.028198
18,-1.73081,0.028198
18,-1.66309,0.0288559
18,-1.59534,0.0288559
18,-1.45985,0.0301619
18,-1.39213,0.0301619
18,-1.12117,0.0327927
18,-0.985683,0.0354052
18,-0.91968,0.0367206
18,-0.851934,0.0380359
18,-0.784189,0.0399999
18,-0.716443,0.0426213
18,-0.648723,0.0459099
18,-0.580953,0.0504953
18,-0.513232,0.0557385
18,-0.44551,0.0629454
18,-0.377765,0.0727833
18,-0.310019,0.0878641
18,-0.242274,0.111477
18,-0.174553,0.152792
18,-0.106808,0.234764
18,-0.0390621,0.393447
18,0.028683,0.60722
18,0.0964042,0.765903
18,0.162408,0.847876
18,0.230177,0.889181
18,0.297874,0.912785
18,0.365644,0.927866
18,0.433365,0.937703
18,0.50111,0.94492
18,0.568831,0.950153
18,0.636577,0.954748
18,0.704322,0.958018
18,0.772067,0.960658
18,0.839764,0.962622
18,1.11072,0.967865
18,1.17847,0.968532
18,1.24445,0.969181
18,1.37994,0.970487
18,1.44768,0.970487
18,1.5154,0.971135
18,1.58315,0.971802
18,1.65089,0.971802
18,1.71864,0.97246
18,1.85411,0.97246
18,1.92185,0.973118
18,1.9896,0.973118
19,-2,0.0255672
19,-1.93402,0.0262341
19,-1.86628,0.0262341
19,-1.79853,0.0268826
19,-1.73081,0.0268826
19,-1.66309,0.0275312
19,-1.59534,0.0275312
19,-1.5276,0.028198
19,-1.45985,0.028198
19,-1.05343,0.0321259
19,-0.985683,0.0334412
19,-0.91968,0.0347473
19,-0.851934,0.0360627
19,-0.784189,0.0380359
19,-0.716443,0.0406574
19,-0.648723,0.0439367
19,-0.580953,0.0478645
19,-0.513232,0.0524592
19,-0.44551,0.0596754
19,-0.377765,0.069504
19,-0.310019,0.0832787
19,-0.242274,0.105576
19,-0.174553,0.145566
19,-0.106808,0.225575
19,-0.0390621,0.388204
19,0.028683,0.612472
19,0.0964042,0.775083
19,0.162408,0.855083
19,0.230177,0.895082
19,0.297874,0.917389
19,0.365644,0.931145
19,0.433365,0.940983
19,0.50111,0.948199
19,0.568831,0.952784
19,0.636577,0.956721
19,0.704322,0.959991
19,0.772067,0.962622
19,0.839764,0.964586
19,1.043,0.968532
19,1.17847,0.969838
19,1.24445,0.970487
19,1.31219,0.971144
19,1.44768,0.97246
19,1.5154,0.97246
19,1.58315,0.973118
19,1.65089,0.973118
19,1.71864,0.973766
19,1.78636,0.973766
19,1.85411,0.974424
19,1.92185,0.974424
19,1.9896,0.975072
20,-2,0.024919
20,-1.86628,0.024919
20,-1.79853,0.0255675
20,-1.73081,0.0255675
20,-1.66309,0.0262344
20,-1.59534,0.0262344
20,-1.5276,0.0268829
20,-1.45985,0.0268829
20,-1.39213,0.0275314
20,-1.32439,0.0275314
20,-1.18889,0.0288559
20,-1.12117,0.0295044
20,-1.05343,0.0308198
20,-0.985683,0.0314683
20,-0.91968,0.032793
20,-0.851934,0.0340991
20,-0.784189,0.036063
20,-0.648723,0.0413062
20,-0.580953,0.0452431
20,-0.513232,0.0498378
20,-0.44551,0.056387
20,-0.377765,0.0655764
20,-0.310019,0.0793419
20,-0.242274,0.100324
20,-0.174553,0.138359
20,-0.106808,0.217052
20,-0.0390621,0.382952
20,0.028683,0.617707
20,0.0964042,0.783615
20,0.162408,0.862299
20,0.230177,0.900326
20,0.297874,0.921317
20,0.365644,0.935082
20,0.433365,0.944253
20,0.50111,0.950821
20,0.568831,0.955406
20,0.636577,0.959343
20,0.704322,0.961955
20,0.772067,0.964586
20,0.839764,0.96655
20,0.975255,0.969181
20,1.043,0.969829
20,1.11072,0.971135
20,1.24445,0.97246
20,1.31219,0.973109
20,1.37994,0.973109
20,1.44768,0.973766
20,1.5154,0.973766
20,1.58315,0.974424
20,1.65089,0.974424
20,1.71864,0.975072
20,1.78636,0.975072
20,1.85411,0.97573
