# Fig. 2C - total phosphorylation (Eq. 2) vs log10([E]/[F]), N = 1..20 sites
# reaction-limited regime, with enzyme refractory state
# Dushek O, van der Merwe PA, Shahrezaei V (2011) Biophysical Journal 100:1189-1197. doi:10.1016/j.bpj.2011.01.060
# Digitized by digitize_dushek2011.py from the vector paths of page 4.
# Series identity is drawing order, cross-checked against the MATLAB colour cycle and against curve nesting; the axes calibration is validated on the exact 0.5 crossing at log10([E]/[F]) = 0.
n_sites,log10_E_over_F,total_phosphorylation
13,0.36563,0.694426
13,0.433374,0.724597
13,0.501095,0.752138
13,0.56884,0.777047
13,0.636585,0.799354
13,0.70433,0.819678
13,0.772075,0.838028
13,0.83982,0.854434
13,0.907541,0.8682
13,0.975286,0.880659
13,1.04303,0.891812
13,1.11078,0.90165
13,1.1785,0.909515
13,1.24447,0.916722
13,1.31222,0.92328
13,1.37994,0.928514
13,1.51541,0.937703
13,1.58315,0.940983
13,1.78636,0.948847
13,1.85411,0.95083
13,1.98957,0.953433
14,-2,0.0439367
14,-1.93397,0.0459099
14,-1.86625,0.0472067
14,-1.73076,0.0511438
14,-1.66302,0.0537746
14,-1.52755,0.0603239
14,-1.45981,0.0642608
14,-1.39209,0.0688461
14,-1.2566,0.080657
14,-1.18888,0.0878641
14,-1.12113,0.0963957
14,-1.05339,0.106224
14,-0.98564,0.11672
14,-0.919662,0.129828
14,-0.851917,0.143602
14,-0.784171,0.159999
14,-0.716451,0.178359
14,-0.648706,0.198692
14,-0.580961,0.221647
14,-0.513216,0.246566
14,-0.445495,0.274106
14,-0.37775,0.304268
14,-0.310005,0.336394
14,-0.24226,0.370501
14,-0.17454,0.406564
14,-0.106795,0.443285
14,-0.0390744,0.48132
14,0.0964158,0.557383
14,0.162419,0.594103
14,0.230164,0.630175
14,0.297909,0.664274
14,0.36563,0.69639
14,0.433374,0.726561
14,0.501095,0.754111
14,0.56884,0.77902
14,0.636585,0.801975
14,0.70433,0.822299
14,0.772075,0.840659
14,0.83982,0.857056
14,0.907541,0.870821
14,0.975286,0.883938
14,1.04303,0.894425
14,1.11078,0.904272
14,1.1785,0.912785
14,1.24447,0.920001
14,1.31222,0.925911
14,1.37994,0.931793
14,1.44769,0.936379
14,1.51541,0.940316
14,1.6509,0.946884
14,1.71862,0.949496
14,1.85411,0.953433
14,1.92183,0.954748
14,1.98957,0.956721
15,-2,0.0419728
15,-1.93397,0.0432698
15,-1.86625,0.0445852
15,-1.79851,0.0465582
15,-1.5953,0.0544228
15,-1.52755,0.0577021
15,-1.39209,0.0668822
15,-1.32434,0.0721348
15,-1.2566,0.078684
15,-1.18888,0.0859002
15,-1.12113,0.0937742
15,-1.05339,0.103603
15,-0.98564,0.114756
15,-0.919662,0.127215
15,-0.851917,0.141638
15,-0.784171,0.157377
15,-0.716451,0.175737
15,-0.648706,0.196719
15,-0.580961,0.219025
15,-0.513216,0.244602
15,-0.445495,0.272133
15,-0.37775,0.302295
15,-0.310005,0.335087
15,-0.24226,0.369186
15,-0.17454,0.405258
15,-0.106795,0.442627
15,-0.0390744,0.48132
15,0.0286711,0.519347
15,0.0964158,0.55804
15,0.162419,0.595418
15,0.230164,0.631472
15,0.297909,0.66558
15,0.36563,0.698363
15,0.433374,0.728534
15,0.501095,0.756075
15,0.56884,0.781642
15,0.636585,0.803939
15,0.70433,0.824921
15,0.772075,0.84329
15,0.83982,0.859019
15,0.907541,0.873452
15,0.975286,0.885902
15,1.04303,0.897046
15,1.11078,0.906875
15,1.1785,0.914749
15,1.24447,0.921965
15,1.31222,0.928514
15,1.37994,0.933766
15,1.51541,0.942956
15,1.58315,0.946226
15,1.78636,0.95409
15,1.85411,0.956064
15,1.98957,0.958685
16,-2,0.0399996
16,-1.93397,0.0413056
16,-1.86625,0.042621
16,-1.73076,0.0465582
16,-1.66302,0.0491796
16,-1.52755,0.0557382
16,-1.45981,0.0596751
16,-1.39209,0.0642605
16,-1.2566,0.0760623
16,-1.18888,0.0832784
16,-1.12113,0.091801
16,-1.05339,0.101639
16,-0.98564,0.112125
16,-0.919662,0.124593
16,-0.851917,0.139007
16,-0.784171,0.155404
16,-0.716451,0.173764
16,-0.648706,0.194097
16,-0.580961,0.217052
16,-0.513216,0.242638
16,-0.445495,0.270827
16,-0.37775,0.300988
