condition,time,Obs_pSTAT3,Obs_pSTAT1
il6_1_il10_1,71,0.039374,0.00019779
il6_1_il10_1,72,0.039296,0.0001974
il6_1_il10_1,73,0.039224,0.00019709
il6_1_il10_1,74,0.039158,0.00019685
il6_1_il10_1,75,0.039096,0.00019663
il6_1_il10_1,76,0.039035,0.00019643
il6_1_il10_1,77,0.038975,0.00019623
il6_1_il10_1,78,0.038915,0.00019601
il6_1_il10_1,79,0.038853,0.00019576
il6_1_il10_1,80,0.038789,0.00019547
il6_1_il10_1,81,0.038722,0.00019513
il6_1_il10_1,82,0.038651,0.00019474
il6_1_il10_1,83,0.038576,0.00019429
il6_1_il10_1,84,0.038496,0.00019378
il6_1_il10_1,85,0.038411,0.00019321
il6_1_il10_1,86,0.038321,0.00019258
il6_1_il10_1,87,0.038225,0.00019188
il6_1_il10_1,88,0.038125,0.00019112
il6_1_il10_1,89,0.038019,0.0001903
il6_1_il10_1,90,0.037909,0.00018943
il6_10_il10_10,0,0.0,0.0
il6_10_il10_10,1,0.011409,0.00010749
il6_10_il10_10,2,0.036488,0.00039201
il6_10_il10_10,3,0.062821,0.00080279
il6_10_il10_10,4,0.083691,0.0012979
il6_10_il10_10,5,0.097664,0.0018425
il6_10_il10_10,6,0.106,0.0024077
il6_10_il10_10,7,0.11059,0.0029693
il6_10_il10_10,8,0.113,0.0035085
il6_10_il10_10,9,0.11423,0.0040109
il6_10_il10_10,10,0.11486,0.0044667
il6_10_il10_10,11,0.11517,0.0048698
il6_10_il10_10,12,0.11531,0.0052174
il6_10_il10_10,13,0.11535,0.0055087
il6_10_il10_10,14,0.1153,0.0057449
il6_10_il10_10,15,0.1152,0.0059284
il6_10_il10_10,16,0.11505,0.006062
il6_10_il10_10,17,0.11484,0.0061494
il6_10_il10_10,18,0.11458,0.0061941
il6_10_il10_10,19,0.11427,0.0061997
il6_10_il10_10,20,0.1139,0.0061697
il6_10_il10_10,21,0.11348,0.0061075
il6_10_il10_10,22,0.11299,0.0060162
il6_10_il10_10,23,0.11244,0.0058988
il6_10_il10_10,24,0.11181,0.0057584
