Stot_molecules,R_active_MAPK_molecules
9.698148993033542865e+03,6.656804733727811254e+03
9.885720318401465192e+03,6.656804733727811254e+03
1.007691944966570372e+04,6.656804733727811254e+03
1.027181655200526620e+04,6.952662721893490925e+03
1.047048314765973373e+04,6.952662721893490925e+03
1.067299214217609006e+04,7.100591715976331216e+03
1.087941785116317988e+04,7.248520710059171506e+03
1.108983602756364417e+04,7.396449704142011797e+03
1.130432388945329512e+04,7.544378698224852087e+03
1.152296014837818257e+04,7.692307692307692378e+03
1.174582503823970364e+04,7.840236686390532668e+03
1.197300034473839332e+04,7.988165680473372959e+03
1.220456943538717314e+04,8.136094674556213249e+03
1.244061729010510135e+04,8.284023668639054449e+03
1.268123053240281479e+04,8.431952662721892921e+03
1.292649746117113864e+04,8.579881656804733211e+03
1.317650808308451997e+04,8.727810650887573502e+03
1.343135414563116501e+04,8.875739644970413792e+03
1.369112917078201281e+04,9.023668639053254083e+03
1.395592848931091066e+04,9.171597633136094373e+03
1.422584927577855342e+04,9.319526627218934664e+03
1.450099058419305948e+04,9.467455621301774954e+03
1.478145338436025486e+04,9.615384615384615245e+03
1.506734059893699850e+04,9.911242603550295826e+03
1.535875714120116209e+04,1.005917159763313612e+04
1.565580995355211053e+04,1.020710059171597641e+04
1.595860804675582403e+04,1.035502958579881670e+04
1.626726253994905164e+04,1.050295857988165699e+04
1.658188670141718467e+04,1.079881656804733757e+04
1.690259599016081484e+04,1.094674556213017786e+04
1.722950809826622935e+04,1.109467455621301815e+04
1.756274299409538071e+04,1.139053254437869873e+04
1.790242296631121644e+04,1.153846153846153902e+04
1.824867266875446148e+04,1.168639053254437931e+04
1.860161916618839678e+04,1.183431952662721778e+04
1.896139198092836887e+04,1.213017751479289836e+04
1.932812314037315082e+04,1.227810650887574047e+04
1.970194722545561308e+04,1.257396449704142105e+04
2.008300142003049405e+04,1.272189349112426135e+04
2.047142556121732196e+04,1.301775147928994011e+04
2.086736219071709274e+04,1.316568047337278222e+04
2.127095660712138852e+04,1.331360946745562251e+04
2.168235691923324703e+04,1.360946745562130127e+04
2.210171410041929994e+04,1.390532544378698185e+04
2.252918204401312323e+04,1.405325443786982214e+04
2.296491761979013609e+04,1.434911242603550454e+04
2.340908073153480291e+04,1.449704142011834301e+04
2.386183437572120965e+04,1.479289940828402359e+04
2.432334470132859497e+04,1.508875739644970417e+04
2.479378107081377311e+04,1.538461538461538476e+04
2.527331612226279685e+04,1.553254437869822323e+04
2.576212583274472127e+04,1.582840236686390563e+04
2.626038958289067887e+04,1.612426035502958439e+04
2.676829022272195289e+04,1.627218934911242650e+04
2.728601413875127400e+04,1.656804733727810890e+04
2.781375132238192964e+04,1.686390532544378584e+04
2.835169543962951138e+04,1.715976331360946642e+04
2.890004390219273046e+04,1.745562130177514700e+04
2.945899793989821046e+04,1.775147928994082758e+04
3.002876267454673143e+04,1.804733727810650817e+04
3.060954719518768252e+04,1.819526627218935027e+04
3.120156463484937194e+04,1.849112426035503086e+04
3.180503224875338856e+04,1.878698224852070780e+04
3.242017149404169322e+04,1.923076923076923049e+04
3.304720811104571476e+04,1.952662721893491107e+04
3.368637220612727106e+04,1.982248520710059165e+04
3.433789833612168877e+04,2.011834319526627223e+04
3.500202559441416815e+04,2.041420118343195281e+04
3.567899769868089788e+04,2.071005917159763339e+04
3.636906308032722154e+04,2.100591715976331398e+04
3.707247497565558297e+04,2.130177514792899456e+04
3.778949151879674173e+04,2.159763313609467514e+04
3.852037583643841208e+04,2.189349112426035572e+04
3.926539614438597346e+04,2.218934911242603630e+04
4.002482584599083930e+04,2.248520710059171688e+04
4.079894363248242735e+04,2.278106508875739746e+04
4.158803358524073701e+04,2.307692307692307804e+04
