# Digitized from Fig. 2H of Smith GR, Shanley DP (2013), BMC Systems Biology 7:41,
# doi:10.1186/1752-0509-7-41. The published PDF page was rendered at 400 dpi with
# pdftoppm; the axis frame and tick marks were located by pixel run detection and
# used for a linear (or log) calibration; each plotted curve was then traced column
# by column, selecting at each column the colour-matched pixel run closest to the
# previous column's centre so that data markers, error bars and legend keys do not
# capture the trace.
# Insulin dose 1 uM; the horizontal axis is calibrated on the decade ticks.
external_ROS_M,fraction_DNA_bound_FOXO
9.73732e-07,0.19187
1e-06,0.192683
1.02698e-06,0.194309
1.05468e-06,0.194309
1.08313e-06,0.195935
1.11235e-06,0.197561
1.14236e-06,0.198374
1.17318e-06,0.199187
1.20483e-06,0.200813
1.23733e-06,0.202439
1.27071e-06,0.203252
1.30499e-06,0.204065
1.34019e-06,0.205691
1.37635e-06,0.207317
1.41348e-06,0.20813
1.45161e-06,0.208943
1.49077e-06,0.210569
1.53099e-06,0.212195
1.57229e-06,0.213008
1.6147e-06,0.213821
1.65826e-06,0.215447
1.703e-06,0.217073
1.74894e-06,0.217886
1.79612e-06,0.218699
1.84457e-06,0.220325
1.89433e-06,0.221951
1.94544e-06,0.222764
1.99792e-06,0.223577
2.05182e-06,0.225203
2.10717e-06,0.226829
2.16401e-06,0.226829
2.22239e-06,0.228455
2.28235e-06,0.230081
2.34392e-06,0.230894
2.40715e-06,0.231707
2.47209e-06,0.233333
2.53878e-06,0.234959
2.60726e-06,0.235772
2.6776e-06,0.236585
2.74983e-06,0.238211
2.82402e-06,0.239837
2.9002e-06,0.24065
2.97844e-06,0.241463
3.05879e-06,0.243089
3.1413e-06,0.245528
3.22605e-06,0.246341
3.31307e-06,0.247967
3.40245e-06,0.25122
3.49424e-06,0.252846
3.5885e-06,0.254472
3.68531e-06,0.257724
3.78473e-06,0.25935
3.88683e-06,0.261789
3.99168e-06,0.264228
4.09937e-06,0.265854
4.20996e-06,0.269106
4.32353e-06,0.270732
4.44016e-06,0.272358
4.55994e-06,0.27561
4.68296e-06,0.277236
4.80929e-06,0.279675
4.93903e-06,0.282114
5.07227e-06,0.28374
5.2091e-06,0.286992
5.34963e-06,0.288618
5.49395e-06,0.290244
5.64216e-06,0.293496
5.79436e-06,0.295122
5.95068e-06,0.297561
6.11121e-06,0.3
6.27607e-06,0.301626
6.44538e-06,0.304878
6.61926e-06,0.306504
6.79782e-06,0.30813
6.98121e-06,0.311382
7.16954e-06,0.313008
7.36295e-06,0.315447
7.56158e-06,0.317886
7.76557e-06,0.319512
7.97506e-06,0.322764
8.19021e-06,0.32439
8.41115e-06,0.326016
8.63806e-06,0.329268
8.87109e-06,0.330894
9.1104e-06,0.333333
9.35617e-06,0.335772
9.60857e-06,0.337398
9.86778e-06,0.339837
1.0134e-05,0.34065
1.04074e-05,0.342276
1.06881e-05,0.343089
1.09765e-05,0.343902
1.12726e-05,0.344715
1.15767e-05,0.345528
1.1889e-05,0.346341
1.22097e-05,0.347154
1.25391e-05,0.347967
1.28774e-05,0.34878
1.32247e-05,0.34878
