CycD_AU,CycE_ss_AU
0.2011,0.1929
0.2011,0.198
0.2011,0.8934
0.2011,0.8985
0.2011,0.9036
0.2011,0.9086
0.2066,0.0964
0.2066,0.1015
0.2066,0.1066
0.2066,0.1117
0.2066,0.1168
0.2066,0.8934
0.2066,0.8985
0.2066,0.9036
0.2066,0.9086
0.2121,0.0964
0.2121,0.1015
0.2121,0.1066
0.2121,0.1117
0.2121,0.1168
0.2121,0.1777
0.2121,0.1827
0.2121,0.1878
0.2121,0.8934
0.2121,0.8985
0.2121,0.9036
0.2121,0.9086
0.2176,0.1015
0.2176,0.1066
0.2176,0.1117
0.2176,0.1168
0.2176,0.1726
0.2176,0.1777
0.2176,0.1827
0.2176,0.1878
0.2176,0.8934
0.2176,0.8985
0.2176,0.9036
0.2176,0.9086
0.2231,0.1015
0.2231,0.1066
0.2231,0.1117
0.2231,0.1168
0.2231,0.1726
0.2231,0.1777
0.2231,0.1827
0.2231,0.1878
0.2231,0.1929
0.2231,0.8934
0.2231,0.8985
0.2231,0.9036
0.2231,0.9086
0.2287,0.1015
0.2287,0.1066
0.2287,0.1117
0.2287,0.1168
0.2287,0.1726
0.2287,0.1777
0.2287,0.1827
0.2287,0.1878
0.2287,0.8934
0.2287,0.8985
0.2287,0.9036
0.2287,0.9086
0.2342,0.1015
0.2342,0.1066
0.2342,0.1117
0.2342,0.1168
0.2342,0.1827
0.2342,0.1878
0.2342,0.8934
0.2342,0.8985
0.2342,0.9036
0.2342,0.9086
0.2397,0.1015
0.2397,0.1066
0.2397,0.1117
0.2397,0.1168
0.2397,0.8934
0.2397,0.8985
0.2397,0.9036
0.2397,0.9086
0.2452,0.1015
0.2452,0.1066
0.2452,0.1117
0.2452,0.1168
0.2452,0.1624
0.2452,0.1675
0.2452,0.1726
0.2452,0.8934
0.2452,0.8985
0.2452,0.9036
0.2452,0.9086
0.2507,0.1015
0.2507,0.1066
0.2507,0.1117
0.2507,0.1168
0.2507,0.1218
0.2507,0.1624
0.2507,0.1675
0.2507,0.1726
0.2507,0.1777
0.2507,0.8934
0.2507,0.8985
0.2507,0.9036
0.2507,0.9086
0.2562,0.1015
0.2562,0.1066
0.2562,0.1117
0.2562,0.1168
0.2562,0.1218
0.2562,0.1624
0.2562,0.1675
0.2562,0.1726
0.2562,0.1777
0.2562,0.8934
0.2562,0.8985
0.2562,0.9036
0.2562,0.9086
0.2617,0.1015
0.2617,0.1066
0.2617,0.1117
0.2617,0.1168
0.2617,0.1218
0.2617,0.1624
0.2617,0.1675
0.2617,0.1726
0.2617,0.1777
0.2617,0.8934
0.2617,0.8985
0.2617,0.9036
0.2617,0.9086
0.2672,0.1066
0.2672,0.1117
0.2672,0.1168
0.2672,0.1218
0.2672,0.8934
0.2672,0.8985
0.2672,0.9036
0.2672,0.9086
0.2727,0.1066
0.2727,0.1117
0.2727,0.1168
0.2727,0.1218
0.2727,0.1523
0.2727,0.1574
0.2727,0.8934
0.2727,0.8985
0.2727,0.9036
0.2727,0.9086
0.2782,0.1066
0.2782,0.1117
0.2782,0.1168
0.2782,0.1218
0.2782,0.1472
0.2782,0.1523
0.2782,0.1574
0.2782,0.1624
0.2782,0.8934
0.2782,0.8985
0.2782,0.9036
0.2782,0.9086
0.2837,0.1066
0.2837,0.1117
0.2837,0.1168
0.2837,0.1218
0.2837,0.1472
0.2837,0.1523
0.2837,0.1574
0.2837,0.1624
0.2837,0.8934
0.2837,0.8985
0.2837,0.9036
0.2837,0.9086
0.2893,0.1066
0.2893,0.1117
0.2893,0.1168
0.2893,0.1218
0.2893,0.1269
0.2893,0.1472
0.2893,0.1523
0.2893,0.1574
0.2893,0.1624
0.2893,0.8934
0.2893,0.8985
0.2893,0.9036
0.2893,0.9086
0.2948,0.1066
0.2948,0.1117
0.2948,0.1168
0.2948,0.1218
0.2948,0.1269
0.2948,0.1523
0.2948,0.1574
0.2948,0.1624
0.2948,0.8934
0.2948,0.8985
0.2948,0.9036
0.2948,0.9086
0.3003,0.1117
0.3003,0.1168
0.3003,0.1218
0.3003,0.1269
0.3003,0.132
0.3003,0.8934
0.3003,0.8985
0.3003,0.9036
0.3003,0.9086
0.3058,0.1117
0.3058,0.1168
0.3058,0.1218
0.3058,0.1269
0.3058,0.132
